cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0
0	0	0	0	0	0.000477677	1	1	-1.14088e-07	0.000477677
0	0	0	0	0.000477677	0.00126242	1	0.999999	-6.82765e-07	-0.0017401
1	1	7649	0	0.00126242	0.03417	0.999999	0.999416	-0.000582829	-0.0329076
1	1	11649	0	0.03417	0.0350575	0.999416	0.999386	-3.07175e-05	-0.000887449
1	1	23980	0	0.0350575	0.0384753	0.999386	0.99926	-0.000125652	-0.00341779
1	1	27387	0	0.0384753	0.0258232	0.99926	0.999667	0.000406838	0.0642984
1	1	37708	0	0.0258232	0.013981	0.999667	0.999902	0.000235711	-0.0118421
1	1	42417	0	0.013981	0.0304283	0.999902	0.999537	-0.000365141	0.0164473
1	1	48084	0	0.0304283	0.0135294	0.999537	0.999908	0.000371489	-0.0439577
1	1	53556	0	0.0135294	0.00949205	0.999908	0.999955	4.64737e-05	0.00403734
1	1	56662	0	0.00949205	0.00165952	0.999955	0.999999	4.36735e-05	0.00783253
1	1	73937	0	0.00165952	0.0241732	0.999999	0.999708	-0.000290753	0.0258328
1	1	79919	0	0.0241732	0.0199997	0.999708	0.9998	9.21825e-05	-0.00417352
1	1	85004	0	0.0199997	0.0151015	0.9998	0.999886	8.59702e-05	-0.00489821
1	1	90038	0	0.0151015	0.0350275	0.999886	0.999387	-0.000499312	0.019926
1	1	90658	0	0.0350275	0.0307426	0.999387	0.999528	0.00014092	-0.00428492
1	1	95303	0	0.0307426	0.00232698	0.999528	0.999997	0.000469957	-0.0284156
1	2	8765	0	0.00126242	0.0113183	0.999999	0.999936	-6.32529e-05	-0.0100559
1	2	17497	0	0.0113183	0.0137396	0.999936	0.999906	-3.03364e-05	0.0250579
1	2	36276	0	0.0137396	0.00401146	0.999906	0.999992	8.63464e-05	-0.0177511
1	2	68359	0	0.00401146	0.00413469	0.999992	0.999991	-5.01933e-07	-0.000123232
1	2	71870	0	0.00413469	0.0211208	0.999991	0.999777	-0.000214473	0.0252555
1	2	74406	0	0.0211208	0.00641853	0.999777	0.999979	0.000202465	-0.0275393
1	2	84431	0	0.00641853	0.0128726	0.999979	0.999917	-6.22512e-05	-0.00645407
1	2	87289	0	0.0128726	0.00737142	0.999917	0.999973	5.56845e-05	0.00550118
1	2	90142	0	0.00737142	0.0385469	0.999973	0.999257	-0.000715507	0.0459183
1	2	92363	0	0.0385469	0.0163279	0.999257	0.999867	0.000609818	-0.022219
2	1	15008	0	0.00232698	0.000651068	0.999997	1	2.49547e-06	-0.00167591
2	1	22922	0	0.000651068	0.0095607	1	0.999954	-4.54906e-05	0.00890964
2	1	24266	0	0.0095607	0.0215563	0.999954	0.999768	-0.000186615	0.0119956
2	1	33676	0	0.0215563	0.0027698	0.999768	0.999996	0.000228527	-0.0243261
2	1	34248	0	0.0027698	0.0123445	0.999996	0.999924	-7.23547e-05	-0.00957469
2	1	39737	0	0.0123445	0.0169515	0.999924	0.999856	-6.74818e-05	0.029296
2	1	53221	0	0.0169515	0.00813244	0.999856	0.999967	0.000110615	-0.025084
2	1	76291	0	0.00813244	0.0121788	0.999967	0.999926	-4.10928e-05	-0.00404638
2	1	79917	0	0.0121788	0.0144679	0.999926	0.999895	-3.04982e-05	-0.00228911
2	1	84954	0	0.0144679	0.00113537	0.999895	0.999999	0.000104021	0.0133326
2	1	85043	0	0.00113537	0.0170911	0.999999	0.999854	-0.000145398	0.0182265
2	1	86003	0	0.0170911	0.00284768	0.999854	0.999996	0.000142008	-0.0199388
2	1	88485	0	0.00284768	0.0147673	0.999996	0.999891	-0.000104977	-0.0119197
2	1	91199	0	0.0147673	0.0267814	0.999891	0.999641	-0.000249553	-0.012014
2	1	91954	0	0.0267814	0.00104796	0.999641	0.999999	0.000358136	0.0278293
2	1	95194	0	0.00104796	0.0325057	0.999999	0.999472	-0.000527621	-0.0335536
2	1	98389	0	0.0325057	0.0200002	0.999472	0.9998	0.00032836	0.0525058
2	2	5933	0	0.0163279	0.0285094	0.999867	0.999594	-0.000273055	0.0121815
2	2	9843	0	0.0285094	0.00410949	0.999594	0.999992	0.000398028	-0.0243999
2	2	23455	0	0.00410949	0.00754269	0.999992	0.999972	-2.00019e-05	0.0034332
2	2	38582	0	0.00754269	0.0142735	0.999972	0.999898	-7.34183e-05	-0.0218162
2	2	44554	0	0.0142735	0.00240297	0.999898	0.999997	9.89848e-05	0.0118706
2	2	55316	0	0.00240297	0.0149535	0.999997	0.999888	-0.00010891	0.0173564
2	2	69211	0	0.0149535	0.0167345	0.999888	0.99986	-2.82185e-05	-0.031688
