cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
0	0	0	0	0	0.00923995	1	0.999957	-4.26874e-05	-0.00503266	-0.00774913
0	0	0	0	0.00923995	0.0133446	0.999957	0.999911	-4.635e-05	-0.00718663	0.00238557
1	1	102	0	0.0133446	0.00502894	0.999911	0.999987	7.63972e-05	0.0103617	0.000690268
1	1	3345	0	0.00502894	0.0149774	0.999987	0.999888	-9.9511e-05	0.0165131	0.00158482
1	1	3912	0	0.0149774	0.0113731	0.999888	0.999935	4.74884e-05	-0.00334579	0.0018892
1	1	17363	0	0.0113731	0.0066551	0.999935	0.999978	4.25295e-05	-0.00615623	0.00541022
1	1	39889	0	0.0066551	0.00883021	0.999978	0.999961	-1.6841e-05	-0.00958911	-0.0118462
1	1	40084	0	0.00883021	0.0245695	0.999961	0.999698	-0.000262808	-0.0182884	-0.00170698
1	1	41739	0	0.0245695	0.0245774	0.999698	0.999698	-1.94633e-07	-5.89123e-06	-6.49974e-06
1	1	57939	0	0.0245774	0.0122369	0.999698	0.999925	0.000227179	0.0134665	0.00135314
1	1	72235	0	0.0122369	0.0363316	0.999925	0.99934	-0.000584952	-0.0109488	0.038186
1	1	80025	0	0.0363316	0.0181198	0.99934	0.999836	0.000495953	0.0114719	-0.0143178
1	1	81754	0	0.0181198	0.0145833	0.999836	0.999894	5.78289e-05	0.0226901	-0.020124
1	1	85513	0	0.0145833	0.00970959	0.999894	0.999953	5.92003e-05	-0.0233381	0.00177422
1	1	89098	0	0.00970959	0.0199142	0.999953	0.999802	-0.000151138	-0.00023582	0.0199116
1	2	19012	0	0.0133446	0.0169978	0.999911	0.999856	-5.54218e-05	0.0118851	0.0223581
1	2	20764	0	0.0169978	0.00353002	0.999856	0.999994	0.000138242	-0.00213232	-0.0144692
1	2	26188	0	0.00353002	0.0171468	0.999994	0.999853	-0.000140767	-0.0100226	0.00922354
1	2	41597	0	0.0171468	0.00743105	0.999853	0.999972	0.000119404	0.0121531	-0.0191723
1	2	46939	0	0.00743105	0.00507503	0.999972	0.999987	1.47324e-05	0.00291524	0.0030527
