cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4	dz5	dz6	dz7	dz8	dz9	dz10	dz11	dz12	dz13	dz14	dz15	dz16	dz17	dz18	dz19	dz20	dz21	dz22	dz23	dz24	dz25	dz26	dz27	dz28	dz29	dz30	dz31	dz32	dz33	dz34	dz35	dz36	dz37	dz38	dz39	dz40	dz41	dz42	dz43	dz44	dz45	dz46	dz47	dz48	dz49
0	0	0	0	0	2.77845e-06	1	1	-3.85991e-12	6.09642e-08	-2.06712e-07	1.44874e-07	-5.16486e-09	-2.33811e-07	-2.33257e-07	-1.06197e-07	-4.45493e-08	1.25202e-07	-4.98746e-07	-3.67089e-08	-6.60416e-08	-6.9785e-07	-2.71144e-07	8.13878e-07	1.00165e-07	-5.32101e-08	2.82681e-07	5.3998e-07	-1.02713e-07	6.1767e-07	-7.1135e-07	3.2182e-07	2.49611e-07	-6.65589e-07	-4.97436e-07	-4.47859e-07	-5.9747e-07	1.96207e-07	-2.60718e-07	-6.50731e-07	3.35261e-07	6.23849e-07	-3.72531e-07	1.42365e-07	4.96547e-07	5.24064e-07	-4.50962e-07	-2.07076e-07	-7.96062e-08	-4.20489e-07	1.40357e-07	-2.97766e-07	2.66374e-08	3.87972e-07	7.48858e-07	3.66388e-07	4.28951e-07	-1.9709e-07	-1.48413e-07
0	0	0	0	2.77845e-06	0.00682771	1	0.999977	-2.33085e-05	0.000301367	-2.94838e-05	-0.00107596	0.000531611	0.000812703	0.00198487	-0.000898065	-6.65971e-05	0.000448217	-0.00180823	0.000921621	0.000449789	0.000500185	0.000932194	-0.000439032	-0.00187965	-0.000638973	0.00140126	-0.00134448	-0.000653151	0.000554094	0.000583462	0.000664424	-0.000166699	0.000463721	0.000211774	-0.00148476	0.000920382	-0.000416027	-0.000231415	-0.0013724	-0.00197759	-0.000525446	0.00118547	-0.00118405	-0.000405643	0.00110116	0.000265308	0.000337056	-0.00139312	-0.00152303	-0.0007742	8.13987e-05	-0.00113922	-0.000615306	0.000138029	-0.000507265	-0.00103064	0.0016485	-0.000115088
0	0	0	0	0.00682771	0.00685286	0.999977	0.999977	-1.7202e-07	0.000108978	-0.000203712	1.78373e-07	-3.07923e-05	3.38951e-05	-6.83447e-05	-0.000118222	0.000231861	-0.000122272	-5.07575e-05	0.000298716	-3.98536e-05	9.79415e-05	9.20478e-05	6.67587e-06	0.000371364	-0.000101828	-6.75547e-05	-7.09608e-05	-4.56838e-05	-6.26922e-05	-0.000127833	8.87868e-05	8.48061e-05	1.89248e-06	5.96391e-05	-8.61067e-05	-8.66087e-05	6.74758e-06	-0.000140462	5.78833e-05	1.14022e-05	7.65796e-05	0.000147181	4.35526e-05	2.87811e-05	0.000121152	0.000115561	0.000100858	3.67663e-06	1.63117e-05	-4.52221e-05	-9.44769e-05	8.93101e-05	-9.22516e-05	-6.79961e-05	-1.26795e-05	3.71458e-05	-3.80751e-05	-2.56991e-05
0	0	0	0	0.00685286	0.0129098	0.999977	0.999917	-5.98493e-05	0.00222003	-0.000980651	0.000202133	0.000821565	0.000908998	-2.37626e-05	0.00103458	0.000632674	-0.00126438	0.00222424	-0.00139127	-0.0024451	0.00227172	0.000890227	0.000238412	0.0015832	0.00119173	-0.00246323	-0.000217751	0.000820782	-0.00110859	-0.00244368	0.000765232	0.000698971	-0.00138819	0.00398148	0.00211623	-0.00146507	-0.00264797	-0.000255684	0.00234781	-0.00256246	0.000435725	-0.00147967	-0.00112205	-1.39553e-06	0.000177695	0.000123068	0.000185747	-0.000795591	-0.00324514	-7.41591e-06	-0.0039692	-5.09437e-06	-0.00103782	-0.000264712	0.00121457	-0.00108023	-6.1561e-05	-0.00231763
1	1	5250	0	0.0129098	0.0264009	0.999917	0.999652	-0.000265137	0.00547327	0.0014365	0.0023991	-0.00335873	-0.0014506	0.00605068	0.0023717	-0.00128659	0.00257729	0.00248134	0.00494505	-0.00424753	0.00187392	-0.00558656	0.00252934	0.00376996	0.00645692	0.00562352	-0.00291657	0.00122707	0.00170802	0.00428201	0.000397931	0.00351138	-0.00176141	-0.00232401	-0.000610458	-0.000512256	0.000391206	0.00229412	0.00136206	0.00248231	-0.00168629	0.000768232	0.00379025	0.0043901	0.00942566	0.001808	0.00151389	-0.00194577	0.00058903	0.00111112	0.00718177	-0.00138595	0.000645524	-0.00214451	0.0057464	0.00156391	0.000598848	-0.00246316
1	1	8139	0	0.0264009	0.0270931	0.999652	0.999633	-1.85122e-05	-0.000410586	-0.000362181	-9.9707e-05	-0.000229071	0.00152009	-0.00012447	-0.000383978	-0.00107154	-0.000526463	-0.000247098	-0.000542131	-0.000467287	0.00026353	0.00049212	0.000829212	6.42775e-05	0.000347069	0.000436044	0.000340492	-0.000287794	0.000347682	-0.000678254	-0.000357699	-7.54115e-05	-8.2196e-05	-4.04382e-05	0.000313759	-0.000449302	-0.00123961	0.000908655	0.000275495	-0.000370343	-0.000510461	-0.00049706	-0.000328012	0.00061283	6.71053e-05	-1.28811e-05	-0.000241249	-0.000733989	-0.000830803	-0.00092802	-0.000392567	-0.000514968	-0.000233325	-0.000141347	-0.000356318	-0.0002117	0.000465752	6.42402e-05
1	1	30961	0	0.0270931	0.0366117	0.999633	0.99933	-0.000303144	-0.00196625	0.000116745	0.00292786	-0.0030409	0.00570922	-0.00746681	0.000441591	-0.000920273	-0.00421864	-0.00822835	0.00338921	0.000913044	0.00161302	0.0032456	-0.00118843	0.00182879	0.00423669	-0.00117206	0.00100217	-0.00625149	-0.00485093	-0.00229687	-0.00909325	0.00308148	0.0031524	-0.00783484	-0.00200669	0.00316988	0.000742617	0.00239581	0.00332598	-0.000776383	-0.00415907	0.00563177	-0.00664895	-0.000939432	0.00575929	-0.002166	0.00162622	0.00153917	0.00253276	0.0023215	0.00160496	-0.00330155	0.000734209	-0.000928305	-0.000445337	-7.00235e-05	0.00156389	0.0025992
1	1	31081	0	0.0366117	0.0372657	0.99933	0.999306	-2.41585e-05	-0.00123326	0.000417003	0.00169315	-0.00159832	-0.000265304	0.00168514	-0.000762971	0.00057823	-0.0014878	-0.000107667	0.00167774	-0.00207786	-0.000958654	0.000486426	0.000816682	-0.000383842	-0.00288242	-0.000464544	0.00111441	-0.000679397	0.00101858	-0.000797522	-0.000199496	-0.00188808	-0.000162014	-0.00314351	0.00183211	-0.0014513	0.00151604	-0.00568947	0.00264045	-0.00223652	0.000616812	-0.00101212	0.0014098	0.00047915	-0.00062944	-0.000616066	-0.000134686	9.2211e-05	0.00106462	0.00141146	-4.6438e-05	0.00142334	0.000743929	-0.000988621	0.00212866	3.07223e-05	0.00193338	0.00216072
1	1	38388	0	0.0372657	0.0453274	0.999306	0.998973	-0.000332865	-0.004148	-0.00508235	-0.00380545	0.000742626	0.00395368	0.00220622	0.00533941	-0.00760275	-0.00182497	-0.00355001	-0.000460038	0.00561503	-0.0110606	-5.69917e-05	-0.0040428	-0.00261903	-0.00372193	0.00076839	-0.00157842	-0.00301727	-0.00306623	0.00396543	-0.00255885	-0.00384807	0.00508888	-0.00763835	-0.00524887	-0.00154578	-0.00233954	0.00226649	-0.00329289	-0.000366506	0.00210952	0.00720026	0.00400161	-0.00448645	0.00162363	0.00310023	-0.00379143	0.0020395	-0.000329156	0.00190934	0.00113966	0.00693133	0.00326742	0.00517317	0.00572445	-0.00222428	-0.00268394	-0.00290665
1	1	62159	0	0.0453274	0.0467754	0.998973	0.998907	-6.66795e-05	0.00193567	0.0021472	-0.000205899	0.000447995	0.000677088	0.000323748	-0.0011056	-0.000812073	0.000731728	0.000667442	0.00120845	-0.00103762	-0.00193409	-0.000111748	0.0011212	-0.00176141	-5.16208e-07	-0.00123666	-0.00254349	-0.000429375	-0.00248333	3.59984e-05	-0.000314218	0.00108391	0.00104712	0.00101752	-0.00106703	0.00368406	0.000199213	4.98012e-05	0.00228963	0.00208554	0.000190749	-0.00104899	-0.000423105	0.000369165	-9.76544e-05	-0.000186881	0.0004103	-0.00173036	-0.000114194	0.000893045	0.00122653	0.00305735	-0.00111505	0.00178567	0.000302987	-0.000184788	0.000586934	0.00083895
