cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
0	0	0	0	0	0.00429792	1	0.999991	-9.23603e-06	-0.00228747	0.00137911	-0.00175201	-2.3263e-05	0.00287534
0	0	0	0	0.00429792	0.005193	0.999991	0.999987	-4.24757e-06	0.000143053	0.00140828	0.000207628	-0.00200072	-2.62041e-05
1	1	1188	0	0.005193	0.0184375	0.999987	0.99983	-0.000156474	0.00970335	0.00557439	0.00317897	-0.00544454	0.00957797
1	1	15970	0	0.0184375	0.0202784	0.99983	0.999794	-3.56351e-05	0.00564003	-0.00826816	-0.00613356	-0.00440606	-0.003724
1	1	18915	0	0.0202784	0.0201791	0.999794	0.999796	2.00852e-06	-0.0103412	-0.00441783	-0.0136822	0.0185143	-0.0110881
1	1	26116	0	0.0201791	0.0347627	0.999796	0.999396	-0.000400547	0.019567	0.0179826	0.0281275	0.0137628	0.00434294
1	1	36890	0	0.0347627	0.0423831	0.999396	0.999102	-0.000293894	0.00873826	0.00703128	0.00242283	-0.00540517	-0.00634078
1	1	76399	0	0.0423831	0.0426509	0.999102	0.999091	-1.13897e-05	-0.000399564	0.00110593	0.00367931	-0.00409183	-0.00021928
1	1	78815	0	0.0426509	0.0486865	0.999091	0.998816	-0.000275599	-0.0421292	-0.000603351	-0.00880381	-0.00148114	0.0452319
1	1	80258	0	0.0486865	0.0331082	0.998816	0.999452	0.000637315	0.00509605	-0.00355969	-0.00515227	0.000925509	-0.0154418
1	1	90565	0	0.0331082	0.03042	0.999452	0.999537	8.53922e-05	0.000223185	-0.0124119	-0.000753481	0.00478836	-7.62669e-05
1	1	92114	0	0.03042	0.0274311	0.999537	0.999624	8.64586e-05	0.00126563	-0.00397704	0.00152071	-0.0087812	0.000954942
1	2	961	0	0.005193	0.00731125	0.999987	0.999973	-1.32435e-05	-0.00133918	-0.00121218	-0.00129118	-0.0030234	-0.000542356
1	2	4073	0	0.00731125	0.00983275	0.999973	0.999952	-2.16141e-05	-0.000282797	0.00295343	0.00195239	-0.00118116	0.00242757
1	2	33985	0	0.00983275	0.0167332	0.999952	0.99986	-9.16538e-05	-0.000905493	-0.00883081	-0.0115703	0.00283169	-0.0132805
1	2	47517	0	0.0167332	0.0120174	0.99986	0.999928	6.77924e-05	0.000693196	0.0113869	0.00699131	0.00981369	0.00582869
1	2	51545	0	0.0120174	0.0185806	0.999928	0.999827	-0.000100405	0.00267472	0.00260939	-0.000113045	0.00546896	0.0115042
1	2	53190	0	0.0185806	0.0300275	0.999827	0.999549	-0.000278167	-0.000443331	0.00685304	-0.0116178	0.00384508	0.000253541
1	2	53799	0	0.0300275	0.0267105	0.999549	0.999643	9.41044e-05	0.00968658	-0.000358918	0.00989582	-0.0198571	-0.0268752
1	2	97583	0	0.0267105	0.0311957	0.999643	0.999514	-0.000129854	0.00115427	0.00470198	-0.00847216	-0.00328301	0.00556659
2	1	17792	0	0.0274311	0.0324118	0.999624	0.999475	-0.000149019	-0.0196557	-0.000950641	0.0164027	0.00042059	-0.0200399
2	1	23458	0	0.0324118	0.0309894	0.999475	0.99952	4.5093e-05	-0.000290495	-0.00110535	-0.00277296	-0.000364361	-9.16041e-05
2	1	27372	0	0.0309894	0.0417642	0.99952	0.999128	-0.000391878	0.00584312	-0.012654	0.0148469	-0.00199606	0.00837691
2	1	29733	0	0.0417642	0.0386723	0.999128	0.999253	0.000124362	-0.00339582	-0.00382972	-0.00785769	-0.000310708	-0.00282742
2	1	34079	0	0.0386723	0.0387675	0.999253	0.999249	-3.68597e-06	0.0082267	-0.0141361	-0.00861656	0.00517531	-0.00825749
2	1	40818	0	0.0387675	0.0269159	0.999249	0.999638	0.000389301	-0.00453421	0.0261513	0.00154037	-0.00422033	0.00428511
2	1	45273	0	0.0269159	0.019629	0.999638	0.999807	0.000169597	0.0314158	-0.0070525	-0.0148511	-0.00132	-0.0147379
2	1	52680	0	0.019629	0.0213456	0.999807	0.999772	-3.51676e-05	0.00093871	6.30967e-05	0.000619331	0.00122711	-0.00205549
2	1	58374	0	0.0213456	0.0279846	0.999772	0.999609	-0.000163737	0.00143814	0.00276394	0.00717668	0.010909	-0.00176829
2	1	77853	0	0.0279846	0.0309307	0.999609	0.999522	-8.67827e-05	-0.00630073	0.0118507	0.00602668	0.00461765	-0.00363059
2	1	81670	0	0.0309307	0.0326878	0.999522	0.999466	-5.58895e-05	6.72518e-05	-0.0041737	0.000373759	0.000846612	-0.00208842
2	2	6023	0	0.0311957	0.0259482	0.999514	0.999663	0.000149943	-0.00724993	-0.00491389	0.00931979	-0.0074644	-5.436e-05
2	2	13251	0	0.0259482	0.0252506	0.999663	0.999681	1.78589e-05	0.0071127	-0.00567142	-0.00163866	0.00072711	-0.00130245
2	2	18606	0	0.0252506	0.0173051	0.999681	0.99985	0.000169078	-0.00847873	0.000506075	-0.00210223	0.00882238	0.0207081
2	2	28419	0	0.0173051	0.0176243	0.99985	0.999845	-5.5751e-06	0.00986322	-0.00391249	-0.00120777	0.0102818	-0.00581926
2	2	32263	0	0.0176243	0.017876	0.999845	0.99984	-4.46691e-06	-0.000377687	0.00207352	0.00328776	0.00293511	0.00215888
2	2	34698	0	0.017876	0.0160909	0.99984	0.999871	3.03168e-05	-0.000304541	0.000460375	0.00115977	-0.0028994	-0.00157497
2	2	41169	0	0.0160909	0.0236012	0.999871	0.999722	-0.000149038	0.00035522	0.00816215	-0.00172753	0.00132461	0.00380427
2	2	57195	0	0.0236012	0.0222887	0.999722	0.999752	3.01146e-05	-0.0247605	-0.0154255	0.0123222	0.00118402	0.00866798
2	2	66914	0	0.0222887	0.0427413	0.999752	0.999087	-0.000664795	0.00627252	0.0394264	-0.00443588	-0.00626127	-0.0190812
2	2	69684	0	0.0427413	0.037031	0.999087	0.999315	0.00022779	-0.00027758	-0.00800418	-0.00589166	0.00291358	-0.00545662
2	2	88282	0	0.037031	0.0301189	0.999315	0.999547	0.000232099	0.0113663	-0.0149685	-0.0116065	0.00895012	0.0170921
3	1	9674	0	0.0326878	0.0328972	0.999466	0.999459	-6.86607e-06	0.000245333	2.80902e-05	-0.000171648	0.000166456	-0.000225569
3	1	23595	0	0.0328972	0.0317537	0.999459	0.999496	3.69634e-05	-0.00052306	0.000100717	-0.000902988	-0.000552232	0.000400116
3	1	34940	0	0.0317537	0.0203215	0.999496	0.999794	0.00029771	-0.00587118	0.0141771	-0.013312	-0.00596272	0.011832
3	1	39532	0	0.0203215	0.0204653	0.999794	0.999791	-2.93257e-06	-0.00126464	-0.000856548	-0.000621337	0.00121886	0.000520199
3	1	54139	0	0.0204653	0.0258582	0.999791	0.999666	-0.000124901	-0.00190683	0.0039173	-0.00119322	0.0043757	0.0024959
3	1	56226	0	0.0258582	0.0217347	0.999666	0.999764	9.81298e-05	0.00201302	-0.00320033	-0.00237023	-0.00336084	0.00530657
3	1	63546	0	0.0217347	0.0181918	0.999764	0.999835	7.07297e-05	-0.00193027	-0.00195924	-0.00758114	-0.0085016	0.00266668
3	1	66542	0	0.0181918	0.0377315	0.999835	0.999288	-0.00054621	-0.0216925	0.00632713	-0.00749556	0.00967342	-0.00435509
3	1	73283	0	0.0377315	0.0411802	0.999288	0.999152	-0.000136062	-0.00376242	0.00269908	-0.000765075	-0.000842138	-0.000821597
3	1	82086	0	0.0411802	0.0475887	0.999152	0.998868	-0.000284397	0.0256693	0.0226025	0.0163377	-0.0387758	-0.00771934
3	1	84592	0	0.0475887	0.0299014	0.998868	0.999553	0.000685528	0.0284358	-0.0448848	0.0040423	0.0124989	0.00559703
3	1	88894	0	0.0299014	0.0294817	0.999553	0.999566	1.24613e-05	-0.00679951	-0.00747877	0.00399012	-0.00403883	-0.00896115
3	1	97379	0	0.0294817	0.0263593	0.999566	0.999653	8.71828e-05	-0.00251026	0.012961	0.00601336	-0.00084779	0.0113483
3	2	2876	0	0.0301189	0.0319112	0.999547	0.999491	-5.55873e-05	0.00196092	-0.0035395	-0.00227807	0.00180815	0.0042817
3	2	3327	0	0.0319112	0.0240853	0.999491	0.99971	0.000219137	-0.00214146	-0.0109852	0.00428313	0.00212547	-0.00978301
3	2	5607	0	0.0240853	0.0341187	0.99971	0.999418	-0.000291949	0.00702442	0.00474421	-0.00987341	-0.0337441	0.00437852
3	2	15720	0	0.0341187	0.0319308	0.999418	0.99949	7.2257e-05	0.00555869	-0.0123301	0.0285472	0.00317154	0.0186003
3	2	30689	0	0.0319308	0.0500969	0.99949	0.998746	-0.000744783	-0.0134774	-0.0342645	-0.0225584	-0.0112761	-0.0320787
3	2	46407	0	0.0500969	0.0331059	0.998746	0.999452	0.000707098	-0.00873736	0.0246667	0.00145251	0.0424689	0.0222463
3	2	67017	0	0.0331059	0.0321668	0.999452	0.999483	3.06511e-05	0.00159216	0.00293773	-0.000746258	8.1788e-05	-0.000140157
3	2	80127	0	0.0321668	0.0305988	0.999483	0.999532	4.92088e-05	0.000105075	-0.000245076	0.00405852	0.00142442	-0.00047145
3	2	82225	0	0.0305988	0.0490745	0.999532	0.998797	-0.00073574	-0.0115059	0.00816566	-0.00103336	-0.0534807	-0.0397208
3	2	86907	0	0.0490745	0.0454956	0.998797	0.998966	0.000169242	0.00626111	-0.0080168	0.00301517	0.0128172	-0.00892978
3	2	92394	0	0.0454956	0.0369431	0.998966	0.999318	0.000352593	-0.00932036	0.00747671	0.0211798	0.0122425	0.0063059
4	1	381	0	0.0263593	0.0303888	0.999653	0.999538	-0.000114326	-0.013604	-0.00961545	0.00583227	-0.00954879	-0.000875385
4	1	7462	0	0.0303888	0.0342781	0.999538	0.999413	-0.000125746	0.00379116	-0.0045862	0.00103764	-0.00148509	-0.00186216
4	1	13992	0	0.0342781	0.0399961	0.999413	0.9992	-0.000212327	-0.00198638	-0.0170685	-0.00143841	0.0044492	-0.00339419
4	1	23293	0	0.0399961	0.0433085	0.9992	0.999063	-0.00013796	0.00429108	-0.00189107	-0.0027865	0.00125622	-0.0107803
4	1	38919	0	0.0433085	0.0418023	0.999063	0.999127	6.40998e-05	-0.0208968	0.00837961	0.0121595	0.00811239	-0.00305698
4	1	40996	0	0.0418023	0.0418205	0.999127	0.999126	-7.60771e-07	0.000216877	-9.65019e-05	7.30943e-05	0.000153985	-1.76434e-05
4	1	46412	0	0.0418205	0.044315	0.999126	0.999019	-0.000107427	-0.0114391	-0.00795828	-0.00994156	0.00186481	0.00216218
