cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
0	0	0	0	0	0.0176562	1	0.999844	-0.000155859	0.0040375	0.0116661	0.0108899	0.00581701	-0.00262932
0	0	0	0	0.0176562	0.0209935	0.999844	0.99978	-6.44915e-05	0.00444706	0.00121705	0.00186261	0.000484312	0.00328565
1	1	8229	0.0653584	0.0600281	0.0597542	0.9982	0.998216	1.64037e-05	0.00114914	-0.00338268	0.00336127	0.00443724	-0.000348461
1	1	11799	0.131235	0.1235	0.0938217	0.992403	0.995608	0.00323007	0.105815	-0.0284098	-0.0808194	-0.0597981	0.0397179
1	1	14210	0.186406	0.116569	0.110483	0.993229	0.993915	0.000691091	0.040939	0.0185556	0.0157831	-0.00309415	0.0386629
1	1	15013	0.206462	0.117528	0.107417	0.993117	0.994247	0.00113794	0.0155013	0.00396337	-0.00584131	-0.0320879	-0.0633828
1	1	17528	0.273799	0.143975	0.0810567	0.989689	0.99672	0.00710439	0.0538129	-0.0133823	0.0656362	0.0248155	-0.0379256
1	1	18988	0.315609	0.111086	0.0767453	0.993849	0.997059	0.00323036	0.0319738	-0.0203558	-0.046448	0.067972	0.00567354
1	1	21473	0.390112	0.141679	0.0830803	0.990014	0.996555	0.00660705	0.098514	0.0487516	-0.0316331	0.0210461	0.013471
1	1	22804	0.431249	0.106703	0.0552279	0.994323	0.998476	0.00417644	0.0617896	0.00260552	0.0536656	-0.0174463	-0.0422679
1	1	23656	0.457852	0.066812	0.0463314	0.997771	0.998927	0.00115929	0.0314003	-0.0180385	-0.0119933	0.0205591	0.0272246
1	1	25419	0.513174	0.0783877	0.0571603	0.996932	0.998368	0.00143971	0.0361522	-0.0182991	-0.000164204	-0.000488507	-0.00549144
1	1	26258	0.53949	0.0735846	0.0373575	0.997296	0.999302	0.00201157	0.048231	0.0145894	0.0333565	-0.00209017	0.00410203
1	1	26266	0.539761	0.0374	0.0143856	0.999301	0.999897	0.000596085	0.00273367	0.00892828	-0.00332051	-0.0331466	0.0100254
1	1	27104	0.565916	0.0325851	0.0303989	0.999469	0.999538	6.88515e-05	0.0282464	-0.0251889	-0.016472	-0.0187119	0.00524169
1	1	27967	0.592698	0.0412822	0.0236447	0.999148	0.999721	0.000572737	0.0332212	0.00431087	0.000815067	0.00691622	-0.000665574
1	1	28649	0.613648	0.0278807	0.0282271	0.999611	0.999602	-9.71728e-06	0.000471578	0.00019202	-0.000100184	-0.00102453	-0.000457884
1	1	33016	0.741328	0.144857	0.101347	0.989563	0.994878	0.00537051	0.054583	-0.0185158	0.0310566	0.0322741	0.0352425
