cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
0	0	0	0	0	0.00424807	1	0.999991	-9.02301e-06	0.00111996	0.00409778
0	0	0	0	0.00424807	0.010483	0.999991	0.999945	-4.59226e-05	-0.0106073	0.000361315
0	0	0	0	0.010483	0.0137261	0.999945	0.999906	-3.92559e-05	0.00116669	-0.0153757
0	0	0	0	0.0137261	0.0141177	0.999906	0.9999	-5.45081e-06	0.000127019	-0.000579981
0	0	0	0	0.0141177	0.00674808	0.9999	0.999977	7.68888e-05	0.00213977	0.00851549
1	1	171	0.5	0.506063	0.415544	0.87981	0.917284	0.0425932	0.105262	-0.10676
1	1	273	0.5	0.415544	0.357081	0.917284	0.938236	0.0228423	0.0501353	0.0423125
1	1	314	0.5	0.357081	0.242951	0.938236	0.970919	0.0348337	0.118214	-0.0032505
1	1	356	0.5	0.242951	0.0909586	0.970919	0.995872	0.0257006	0.296676	0.135081
1	1	1229	0.5	0.0909586	0.091022	0.995872	0.995866	-5.76845e-06	0.000521049	-0.000433683
1	1	2012	0.5	0.091022	0.0524354	0.995866	0.998626	0.0027716	-0.0360878	-0.0200622
1	1	12379	0.5	0.0524354	0.0273053	0.998626	0.999627	0.00100245	-0.044741	-0.0218335
1	1	26921	0.5	0.0273053	0.0243947	0.999627	0.999702	7.52412e-05	-0.00276706	-0.00657734
1	1	28105	0.5	0.0243947	0.0235962	0.999702	0.999722	1.9161e-05	-0.000574265	-0.00208594
1	1	53282	0.5	0.0235962	0.0334409	0.999722	0.999441	-0.000280716	-0.00986436	0.00274509
1	1	53680	0.5	0.0334409	0.0428835	0.999441	0.999081	-0.000360284	0.00512783	-0.0515892
1	1	55776	0.5	0.0428835	0.0193626	0.999081	0.999813	0.000732308	0.0430083	0.0310339
1	1	58160	0.5	0.0193626	0.0235463	0.999813	0.999723	-8.97553e-05	0.00253047	-0.00545061
1	1	69501	0.5	0.0235463	0.0189359	0.999723	0.999821	9.79346e-05	-0.00259984	0.0122269
1	1	84518	0.5	0.0189359	0.0275517	0.999821	0.999621	-0.000200242	0.00638213	-0.013584
1	1	87601	0.5	0.0275517	0.0275439	0.999621	0.999621	2.12616e-07	5.01168e-05	0.000132395
1	1	89181	0.5	0.0275439	0.00958969	0.999621	0.999954	0.000333409	-0.0273437	0.00172521
1	1	93358	0.5	0.00958969	0.028911	0.999954	0.999582	-0.000371872	-0.00909956	-0.0172918
1	1	95371	0.5	0.028911	0.008583	0.999582	0.999963	0.000381161	0.00264865	0.0262962
1	2	14	-0.5	0.493955	0.411777	0.885152	0.918714	0.0379169	-0.119905	0.175183
1	2	64	-0.5	0.411777	0.271033	0.918714	0.963937	0.0492238	-0.111674	-0.104213
1	2	219	-0.5	0.271033	0.208535	0.963937	0.978491	0.0150988	-0.0543349	-0.0535075
1	2	298	-0.5	0.208535	0.131272	0.978491	0.991421	0.0132139	-0.0777708	-0.0307377
1	2	619	-0.5	0.131272	0.0932704	0.991421	0.99566	0.00427554	-0.044052	0.0518557
1	2	1358	-0.5	0.0932704	0.0739611	0.99566	0.997269	0.00161587	-0.0435575	-0.096024
1	2	1516	-0.5	0.0739611	0.0221229	0.997269	0.999755	0.00249352	-0.0527198	0.0407251
1	2	4005	-0.5	0.0221229	0.00374877	0.999755	0.999993	0.000237712	0.00653756	0.0209596
1	2	12013	-0.5	0.00374877	0.00782018	0.999993	0.999969	-2.35507e-05	0.00351564	-0.00908063
1	2	23038	-0.5	0.00782018	0.0144649	0.999969	0.999895	-7.40359e-05	0.00703742	-0.00482563
1	2	25868	-0.5	0.0144649	0.00698247	0.999895	0.999976	8.0242e-05	-0.0072166	0.0196256
1	2	35388	-0.5	0.00698247	0.0123739	0.999976	0.999923	-5.21782e-05	-0.00270282	-0.0190098
1	2	42169	-0.5	0.0123739	0.0123372	0.999923	0.999924	4.53759e-07	-0.000669476	0.0238405
1	2	61948	-0.5	0.0123372	0.00842652	0.999924	0.999964	4.06009e-05	0.00677246	-0.00401774
1	2	71303	-0.5	0.00842652	0.0158972	0.999964	0.999874	-9.08534e-05	0.00218755	0.0071615
1	2	75676	-0.5	0.0158972	0.020666	0.999874	0.999786	-8.7178e-05	0.010428	-0.00165916
1	2	82254	-0.5	0.020666	0.0137557	0.999786	0.999905	0.00011894	-0.00431055	-0.00576431
1	2	90476	-0.5	0.0137557	0.0227505	0.999905	0.999741	-0.000164171	0.0105619	-0.00201981
2	1	11130	0.5	0.008583	0.00489571	0.999963	0.999988	2.48503e-05	0.00853766	-0.00454874
2	1	14888	0.5	0.00489571	0.0042529	0.999988	0.999991	2.94042e-06	0.00132786	0.000842873
2	1	16716	0.5	0.0042529	0.010873	0.999991	0.999941	-5.00665e-05	0.00572408	0.0123612
2	1	24250	0.5	0.010873	0.0327262	0.999941	0.999465	-0.000476278	-0.00239973	0.0240908
2	1	24960	0.5	0.0327262	0.0462132	0.999465	0.998933	-0.000532186	-0.0342247	0.00308106
2	1	30382	0.5	0.0462132	0.0365617	0.998933	0.999332	0.000399529	0.0278609	-0.0720002
2	1	37235	0.5	0.0365617	0.0143545	0.999332	0.999897	0.000565514	0.00222185	0.0508666
2	1	40627	0.5	0.0143545	0.00778463	0.999897	0.99997	7.27287e-05	-0.00180934	-0.0066779
2	1	51553	0.5	0.00778463	0.024034	0.99997	0.999711	-0.000258484	-0.0226	-0.00551665
2	1	56922	0.5	0.024034	0.0254604	0.999711	0.999676	-3.52968e-05	0.0323496	0.0218783
2	1	66220	0.5	0.0254604	0.01276	0.999676	0.999919	0.000242736	-0.0204718	-0.0281996
2	2	15431	-0.5	0.0227505	0.00913093	0.999741	0.999958	0.00021713	-0.0261256	0.00267136
2	2	20564	-0.5	0.00913093	0.00800881	0.999958	0.999968	9.61654e-06	9.12904e-05	-0.00122179
2	2	34010	-0.5	0.00800881	0.021115	0.999968	0.999777	-0.000190832	-0.0160886	-0.0135819
2	2	43282	-0.5	0.021115	0.0258109	0.999777	0.999667	-0.000110175	0.0138101	-0.018424
2	2	44330	-0.5	0.0258109	0.0254807	0.999667	0.999675	8.47018e-06	-0.00209106	0.000965046
2	2	46160	-0.5	0.0254807	0.00985481	0.999675	0.999951	0.000276112	0.000498529	0.0180994
2	2	49077	-0.5	0.00985481	0.0169689	0.999951	0.999856	-9.54091e-05	-0.00744422	0.0133681
2	2	53232	-0.5	0.0169689	0.0160279	0.999856	0.999872	1.5526e-05	0.00134054	0.000529833
2	2	73885	-0.5	0.0160279	0.0150631	0.999872	0.999887	1.49975e-05	0.000593347	-0.0009263
