cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
0	0	0	0	0	0.00639425	1	0.99998	-2.0443e-05	-0.00619561	0.00158139
0	0	0	0	0.00639425	0.00569135	0.99998	0.999984	4.24748e-06	0.000603974	-0.00264206
0	0	0	0	0.00569135	0.00633138	0.999984	0.99998	-3.84745e-06	-0.000739573	0.0011069
0	0	0	0	0.00633138	0.00620292	0.99998	0.999981	8.05097e-07	0.000165819	-0.000727486
0	0	0	0	0.00620292	0.00661216	0.999981	0.999978	-2.62222e-06	4.58217e-05	0.00318556
1	1	47	0.5	0.506126	0.363091	0.879782	0.936208	0.0641371	0.182153	0.161448
1	1	81	0.5	0.363091	0.325105	0.936208	0.948526	0.0131567	0.072748	-0.370307
1	1	252	0.5	0.325105	0.255773	0.948526	0.967819	0.0203407	0.064496	0.0315562
1	1	562	0.5	0.255773	0.198609	0.967819	0.98047	0.0130718	0.0442005	0.0364763
1	1	676	0.5	0.198609	0.163669	0.98047	0.986696	0.00634905	0.0999795	-0.0197212
1	1	710	0.5	0.163669	0.135042	0.986696	0.990923	0.00428482	0.0427358	0.0230019
1	1	1083	0.5	0.135042	0.0288343	0.990923	0.999584	0.00874039	-0.0115604	0.161541
1	1	10372	0.5	0.0288343	0.0305418	0.999584	0.999534	-5.06889e-05	-0.000680816	0.00156584
1	1	12852	0.5	0.0305418	0.034428	0.999534	0.999408	-0.000126236	-0.0220608	-0.0327429
1	1	22912	0.5	0.034428	0.0301023	0.999408	0.999547	0.000139578	0.00417248	0.00783557
1	1	34707	0.5	0.0301023	0.0162145	0.999547	0.999869	0.000321671	0.0143861	-0.00775155
1	1	37103	0.5	0.0162145	0.0200769	0.999869	0.999798	-7.00839e-05	0.0138512	-0.0154111
1	1	55130	0.5	0.0200769	0.0191265	0.999798	0.999817	1.8631e-05	0.0171198	0.00869033
1	1	60060	0.5	0.0191265	0.0273376	0.999817	0.999626	-0.000190744	-0.0142363	0.0386266
1	1	60844	0.5	0.0273376	0.00890054	0.999626	0.99996	0.000334119	-0.00515602	-0.0352773
1	1	68967	0.5	0.00890054	0.00953265	0.99996	0.999955	-5.82589e-06	-0.00552123	0.00883713
1	1	79450	0.5	0.00953265	0.00953962	0.999955	0.999954	-6.64746e-08	-7.12177e-06	-1.32662e-06
1	1	90168	0.5	0.00953962	0.0251968	0.999954	0.999683	-0.0002719	-0.0141327	0.00786935
1	2	29	0.5	0.506126	0.494409	0.879782	0.884953	0.0058785	0.0193689	-0.0891904
1	2	200	0.5	0.494409	0.360958	0.884953	0.936931	0.0587352	0.137526	0.17797
1	2	282	0.5	0.360958	0.324031	0.936931	0.948856	0.0127278	0.0415378	0.0103252
1	2	314	0.5	0.324031	0.224867	0.948856	0.975034	0.027589	0.083522	-0.119362
1	2	336	0.5	0.224867	0.148056	0.975034	0.9891	0.0144254	0.0917747	-0.0485283
1	2	687	0.5	0.148056	0.0404591	0.9891	0.999182	0.0101934	0.172545	0.0712379
1	2	4970	0.5	0.0404591	0.0433537	0.999182	0.999061	-0.000121294	-0.0195769	-0.0431155
1	2	6502	0.5	0.0433537	0.0469088	0.999061	0.9989	-0.000160432	8.75779e-05	-0.00395259
1	2	6821	0.5	0.0469088	0.0191665	0.9989	0.999816	0.000916959	-0.0397545	0.0438281
1	2	7057	0.5	0.0191665	0.0265361	0.999816	0.999648	-0.000168391	0.00203671	0.0186149
1	2	11932	0.5	0.0265361	0.0235322	0.999648	0.999723	7.52019e-05	0.00728994	0.00108008
1	2	15568	0.5	0.0235322	0.00481519	0.999723	0.999988	0.000265325	0.011065	-0.0167757
1	2	18080	0.5	0.00481519	0.0239783	0.999988	0.999713	-0.000275847	-0.0187766	0.0117838
1	2	29626	0.5	0.0239783	0.0268356	0.999713	0.99964	-7.2593e-05	-0.00936037	-0.0166318
1	2	39866	0.5	0.0268356	0.0249103	0.99964	0.99969	4.98146e-05	0.00195955	-0.00110945
1	2	60694	0.5	0.0249103	0.021311	0.99969	0.999773	8.31848e-05	0.0142131	-0.0171304
1	2	79088	0.5	0.021311	0.0225511	0.999773	0.999746	-2.71967e-05	0.030296	0.00735874
2	1	23264	0.5	0.0251968	0.00809273	0.999683	0.999967	0.000284734	0.015739	-0.0105243
2	1	23682	0.5	0.00809273	0.0370294	0.999967	0.999315	-0.000652629	-0.0285171	0.00852542
2	1	38343	0.5	0.0370294	0.0239256	0.999315	0.999714	0.000399451	0.0361098	-0.0306646
2	1	48450	0.5	0.0239256	0.0422388	0.999714	0.999108	-0.000605657	0.0422426	0.028924
2	1	51099	0.5	0.0422388	0.0493584	0.999108	0.998783	-0.000326015	-0.0595941	-0.0510941
2	1	57507	0.5	0.0493584	0.00451239	0.998783	0.99999	0.00120868	0.016419	0.0504345
2	1	59255	0.5	0.00451239	0.0102023	0.99999	0.999948	-4.1862e-05	-0.00826853	-0.00805572
2	1	77356	0.5	0.0102023	0.00152157	0.999948	0.999999	5.08874e-05	0.00805728	0.00323722
2	1	88972	0.5	0.00152157	0.0124059	0.999999	0.999923	-7.57929e-05	-0.0109569	0.000809591
2	1	95325	0.5	0.0124059	0.0171845	0.999923	0.999852	-7.06972e-05	0.0145201	-0.017385
2	1	96538	0.5	0.0171845	0.0179414	0.999852	0.999839	-1.32935e-05	0.00117307	-0.000583464
2	2	1687	0.5	0.0225511	0.0304222	0.999746	0.999537	-0.000208457	0.00682877	-0.00391455
2	2	10767	0.5	0.0304222	0.0276486	0.999537	0.999618	8.05351e-05	-0.00747132	-0.00508626
2	2	18735	0.5	0.0276486	0.0205124	0.999618	0.99979	0.00017186	-0.00278356	0.00752181
2	2	23153	0.5	0.0205124	0.0261002	0.99979	0.999659	-0.000130223	0.00429376	-0.00358024
2	2	25669	0.5	0.0261002	0.0255721	0.999659	0.999673	1.36441e-05	0.00290423	0.00585207
2	2	26001	0.5	0.0255721	0.0158343	0.999673	0.999875	0.000201624	-0.010139	0.00165673
2	2	54909	0.5	0.0158343	0.0134399	0.999875	0.99991	3.50475e-05	-0.00103025	0.00308535
2	2	71139	0.5	0.0134399	0.0202951	0.99991	0.999794	-0.000115623	-0.0323988	0.00787747
2	2	72934	0.5	0.0202951	0.0174957	0.999794	0.999847	5.28978e-05	0.0028496	0.000205503
2	2	81622	0.5	0.0174957	0.011025	0.999847	0.999939	9.22775e-05	0.00989563	0.0056327
2	2	92034	0.5	0.011025	0.0190623	0.999939	0.999818	-0.000120903	-0.00487929	0.006409
2	2	97681	0.5	0.0190623	0.0323488	0.999818	0.999477	-0.000341478	0.0426404	-0.0257768
2	2	97729	0.5	0.0323488	0.0308959	0.999477	0.999523	4.59456e-05	-0.00120131	0.000951434
3	1	15563	0.5	0.0179414	0.0254273	0.999839	0.999677	-0.000162313	-0.0282111	0.0125804
3	1	15647	0.5	0.0254273	0.0247587	0.999677	0.999694	1.67758e-05	0.00124255	0.0122952
3	1	21807	0.5	0.0247587	0.0251888	0.999694	0.999683	-1.07399e-05	0.00148607	0.00467939
3	1	23422	0.5	0.0251888	0.0359418	0.999683	0.999354	-0.000328615	-0.00459082	0.0120518
3	1	31846	0.5	0.0359418	0.0181676	0.999354	0.999835	0.000480991	0.0418334	-0.0137961
3	1	36247	0.5	0.0181676	0.0141255	0.999835	0.9999	6.52676e-05	-0.00332062	-0.00230545
3	1	45600	0.5	0.0141255	0.00742891	0.9999	0.999972	7.21733e-05	-0.00432973	-0.00722939
3	1	51475	0.5	0.00742891	0.01062	0.999972	0.999944	-2.87971e-05	0.00177885	0.00470024
3	1	52904	0.5	0.01062	0.0103008	0.999944	0.999947	3.33834e-06	-0.000543167	0.000274012
3	1	56644	0.5	0.0103008	0.0209835	0.999947	0.99978	-0.000167085	-0.0296195	-0.0054032
3	1	66502	0.5	0.0209835	0.0296591	0.99978	0.99956	-0.000219655	-0.00599613	0.0121116
3	1	70420	0.5	0.0296591	0.0435327	0.99956	0.999053	-0.000507587	-0.00775097	0.0139263
3	1	71440	0.5	0.0435327	0.0274738	0.999053	0.999623	0.000570306	0.00907033	-0.0360672
3	1	85434	0.5	0.0274738	0.0144324	0.999623	0.999896	0.000273295	0.0180497	-0.00244423
3	1	91805	0.5	0.0144324	0.0208663	0.999896	0.999782	-0.000113548	-0.013234	0.0112861
3	1	96961	0.5	0.0208663	0.0144146	0.999782	0.999896	0.000113818	0.00654625	-0.000858644
