cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
0	0	0	0	0	0.0194206	1	0.999811	-0.000188561	-0.00877891	0.0173231
0	0	0	0	0.0194206	0.0129901	0.999811	0.999916	0.000104213	0.0060492	-0.00462301
0	0	0	0	0.0129901	0.00758158	0.999916	0.999971	5.5633e-05	0.00959688	-0.00948726
1	1	50988	0	0.00758158	0.0258893	0.999971	0.999665	-0.000306341	-0.0139399	0.0216917
1	1	53069	0	0.0258893	0.0284391	0.999665	0.999596	-6.92607e-05	0.0215024	-0.000397986
1	1	58100	0	0.0284391	0.0315947	0.999596	0.999501	-9.4716e-05	-0.0187591	0.00679015
1	1	59549	0	0.0315947	0.0544427	0.999501	0.998519	-0.000982411	0.0529283	-0.00675755
1	1	60252	0	0.0544427	0.0368774	0.998519	0.99932	0.000802358	-0.0127689	-0.0158122
1	1	62007	0	0.0368774	0.00907675	0.99932	0.999959	0.000638981	-0.0432041	-0.00343455
1	1	73357	0	0.00907675	0.00954195	0.999959	0.999954	-4.33073e-06	0.0138417	0.00172338
1	1	74810	0	0.00954195	0.00363477	0.999954	0.999993	3.89194e-05	-0.00328477	-0.00877111
1	1	75516	0	0.00363477	0.0329916	0.999993	0.999456	-0.000537471	-0.0318074	0.0181588
1	1	77016	0	0.0329916	0.02849	0.999456	0.999594	0.000138391	0.0513778	-0.0335491
1	1	83488	0	0.02849	0.0233282	0.999594	0.999728	0.000133746	-0.00620829	0.0006996
1	1	87353	0	0.0233282	0.0182564	0.999728	0.999833	0.000105461	0.00156625	0.0187442
1	1	91976	0	0.0182564	0.0382923	0.999833	0.999267	-0.000566344	-0.054369	0.0100173
1	2	8791	0	0.00758158	0.0104001	0.999971	0.999946	-2.53401e-05	0.00343481	-0.00463771
1	2	9095	0	0.0104001	0.0221794	0.999946	0.999754	-0.000191864	-0.0321204	-0.00256045
1	2	10981	0	0.0221794	0.0230467	0.999754	0.999734	-1.96127e-05	0.0275974	0.0262958
1	2	12669	0	0.0230467	0.0065341	0.999734	0.999979	0.000244259	-0.0045344	-0.015896
1	2	37009	0	0.0065341	0.0138262	0.999979	0.999904	-7.42317e-05	0.00346728	0.00658405
